date,product,category,region,channel,quantity,unit_price,revenue,cost
2026-01-01,产品A,电子产品,华东,线上,120,299,35880,21500
2026-01-01,产品B,家居用品,华东,线上,85,159,13515,8900
2026-01-01,产品C,电子产品,华南,线下,45,899,40455,32000
2026-01-02,产品A,电子产品,华东,线上,135,299,40365,24100
2026-01-02,产品D,服装,华北,线上,200,199,39800,22000
2026-01-02,产品B,家居用品,华南,线下,60,159,9540,6300
2026-01-03,产品A,电子产品,华南,线上,98,299,29302,17600
2026-01-03,产品E,食品,华东,线下,150,49,7350,4500
2026-01-03,产品C,电子产品,华东,线上,52,899,46748,36900
2026-01-04,产品D,服装,华东,线上,175,199,34825,19300
2026-01-04,产品A,电子产品,华北,线下,70,299,20930,12500
2026-01-04,产品B,家居用品,华东,线上,95,159,15105,9900
2026-01-05,产品E,食品,华南,线上,180,49,8820,5400
2026-01-05,产品C,电子产品,华南,线下,38,899,34162,27000
2026-01-05,产品A,电子产品,华东,线上,142,299,42458,25400
2026-01-06,产品D,服装,华南,线上,160,199,31840,17600
2026-01-06,产品B,家居用品,华北,线下,55,159,8745,5800
2026-01-06,产品E,食品,华东,线上,210,49,10290,6300
2026-01-07,产品A,电子产品,华东,线下,88,299,26312,15700
2026-01-07,产品C,电子产品,华东,线上,65,899,58435,46100
2026-01-07,产品D,服装,华北,线下,90,199,17910,9900
