date,customer_id,product,quantity,price
2026-01-05,C001,Widget A,2,29.99
2026-01-06,C002,Widget B,1,49.99
2026-01-07,C001,Gadget X,3,15.50
2026-01-08,C003,Widget A,1,29.99
2026-01-09,C004,Gadget Y,2,22.00
2026-01-10,C002,Widget A,5,29.99
2026-01-11,C005,Widget B,2,49.99
2026-01-12,C001,Gadget X,1,15.50
2026-01-13,C003,Gadget Y,4,22.00
2026-01-14,C006,Widget A,3,29.99
2026-01-15,C004,Widget B,1,49.99
2026-01-16,C002,Gadget X,2,15.50
2026-01-17,C007,Widget A,1,29.99
2026-01-18,C005,Gadget Y,3,22.00
2026-01-19,C001,Widget B,2,49.99
2026-01-20,C003,Widget A,2,29.99
2026-01-21,C008,Gadget X,1,15.50
2026-01-22,C006,Widget B,1,49.99
2026-01-23,C004,Gadget Y,2,22.00
2026-01-24,C002,Widget A,3,29.99
2026-01-25,C007,Gadget X,2,15.50
2026-01-26,C005,Widget A,1,29.99
2026-01-27,C001,Gadget Y,1,22.00
2026-01-28,C003,Widget B,2,49.99
2026-01-29,C008,Widget A,4,29.99
2026-01-30,C006,Gadget X,1,15.50
2026-01-31,C004,Widget A,2,29.99
2026-02-01,C002,Gadget Y,3,22.00
2026-02-02,C001,Widget A,1,29.99
2026-02-03,C005,Widget B,1,49.99
2026-02-04,C003,Gadget X,2,15.50
2026-02-05,C007,Widget A,3,29.99
2026-02-06,C006,Gadget Y,1,22.00
2026-02-07,C004,Widget B,2,49.99
2026-02-08,C008,Gadget X,3,15.50
2026-02-09,C002,Widget A,2,29.99
2026-02-10,C001,Gadget Y,2,22.00
